"IT107","Territory","T_D8","Data type","PRAF","Including or not including imputed","RDPR","Households main income source","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",26597,,
"ITC","Nord-ovest","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",29421,,
"ITC1","Piemonte","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",27544,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",26948,,
"ITC3","Liguria","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",26202,,
"ITC4","Lombardia","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",30496,,
"ITD","Nord-est","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",29850,,
"ITD1","Provincia Autonoma Bolzano / Bozen","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",31146,,
"ITD2","Provincia Autonoma Trento","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",29901,,
"ITD3","Veneto","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",28193,,
"ITD4","Friuli-Venezia Giulia","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",28219,,
"ITD5","Emilia-Romagna","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",31552,,
"ITE","Centro (I)","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",28660,,
"ITE1","Toscana","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",30568,,
"ITE2","Umbria","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",29074,,
"ITE3","Marche","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",30744,,
"ITE4","Lazio","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",26873,,
"ITF","Sud","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",22510,,
"ITF1","Abruzzo","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",22979,,
"ITF2","Molise","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",22846,,
"ITF3","Campania","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",21234,,
"ITF4","Puglia","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",23116,,
"ITF5","Basilicata","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",22653,,
"ITF6","Calabria","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",23784,,
"ITG","Isole","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",21997,,
"ITG1","Sicilia","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",21361,,
"ITG2","Sardegna","REDD_MEDIANO_FAM","annual median households income","2","not including imputed rents","9","total","2020","2020",24511,,
